   	5.790e-05
  #	5.790e-05
  .	5.790e-05
  0	4.638e-02
  a	5.217e-02
  b	1.164e-02
  c	4.059e-02
  d	1.159e-01
  e	3.480e-02
  f	1.743e-02
  g	1.743e-02
  h	1.164e-02
  i	4.059e-02
  j	5.790e-05
  k	1.164e-02
  l	1.743e-02
  m	1.164e-02
  n	4.638e-02
  o	5.848e-03
  p	5.848e-03
  q	5.790e-05
  r	5.790e-05
  s	2.901e-02
  t	5.790e-05
  u	1.101e-01
  v	2.322e-02
  w	9.848e-02
  x	5.790e-05
  y	5.790e-05
  z	1.743e-02
 . 	2.140e-04
 .#	1.072e-01
 ..	2.162e-02
 .0	2.140e-04
 .a	2.140e-04
 .b	2.140e-04
 .c	2.140e-04
 .d	2.140e-04
 .e	2.140e-04
 .f	2.140e-04
 .g	2.140e-04
 .h	2.140e-04
 .i	2.140e-04
 .j	2.140e-04
 .k	2.140e-04
 .l	2.140e-04
 .m	2.140e-04
 .n	2.140e-04
 .o	2.140e-04
 .p	2.140e-04
 .q	2.140e-04
 .r	2.140e-04
 .s	2.140e-04
 .t	2.140e-04
 .u	2.140e-04
 .v	2.140e-04
 .w	2.140e-04
 .x	2.140e-04
 .y	2.140e-04
 .z	2.140e-04
 0 	9.813e-02
 0#	5.162e-05
 0.	2.586e-02
 00	6.505e-01
 0a	5.162e-05
 0b	5.162e-05
 0c	5.162e-05
 0d	5.162e-05
 0e	5.162e-05
 0f	5.162e-05
 0g	5.214e-03
 0h	5.162e-05
 0i	5.162e-05
 0j	5.162e-05
 0k	5.162e-05
 0l	5.162e-05
 0m	5.162e-05
 0n	5.162e-05
 0o	5.162e-05
 0p	5.162e-05
 0q	5.162e-05
 0r	1.038e-02
 0s	5.162e-05
 0t	5.162e-05
 0u	5.162e-05
 0v	5.162e-05
 0w	5.162e-05
 0x	5.162e-05
 0y	5.162e-05
 0z	5.162e-05
 a 	1.305e-03
 a#	6.490e-06
 a.	1.305e-03
 a0	2.603e-03
 aa	6.490e-06
 ab	1.019e-01
 ac	3.901e-03
 ad	1.305e-03
 ae	6.490e-06
 af	6.490e-06
 ag	2.603e-03
 ah	6.555e-04
 ai	6.490e-06
 aj	6.490e-06
 ak	1.234e-02
 al	1.142e-01
 am	2.792e-02
 an	1.921e-01
 ao	6.490e-06
 ap	1.954e-03
 aq	6.490e-06
 ar	7.724e-02
 as	7.795e-03
 at	6.555e-04
 au	4.232e-01
 av	6.490e-06
 aw	6.490e-06
 ax	6.490e-06
 ay	6.490e-06
 az	6.555e-04
 b 	1.663e-03
 b#	8.273e-06
 b.	8.356e-04
 b0	8.273e-06
 ba	1.573e-02
 bb	8.273e-06
 bc	8.273e-06
 bd	8.273e-06
 be	7.992e-01
 bf	8.273e-06
 bg	8.273e-06
 bh	8.273e-06
 bi	6.123e-02
 bj	8.273e-06
 bk	8.273e-06
 bl	1.242e-02
 bm	8.273e-06
 bn	8.273e-06
 bo	4.145e-03
 bp	8.273e-06
 bq	8.273e-06
 br	5.792e-02
 bs	8.356e-04
 bt	8.273e-06
 bu	4.145e-03
 bv	8.273e-06
 bw	8.273e-06
 bx	8.273e-06
 by	8.273e-06
 bz	8.281e-03
